series,adf_stat,p_value,stationary_5pct,n
opening_rate (level),-5.447,0.0,True,131
opening_rate (diff),-8.005,0.0,True,130
entrant_rate (level),-9.449,0.0,True,131
entrant_rate (diff),-7.352,0.0,True,130
net_entry_rate (level),-5.06,0.0,True,131
net_entry_rate (diff),-13.453,0.0,True,130
open_close_ratio (level),-6.359,0.0,True,131
open_close_ratio (diff),-6.543,0.0,True,130
closure_rate (level),-6.473,0.0,True,131
closure_rate (diff),-8.774,0.0,True,130
exit_rate (level),-10.117,0.0,True,131
exit_rate (diff),-8.476,0.0,True,130
