province,peak_lead_lag,peak_lead_corr
Ontario,1,-0.302
British Columbia,1,-0.29
Alberta,2,-0.281
Manitoba,1,-0.271
New Brunswick,1,-0.262
Quebec,1,-0.258
Saskatchewan,1,-0.251
Newfoundland and Labrador,1,-0.232
Prince Edward Island,1,-0.18
Nova Scotia,1,-0.165
